Local Council,Last Updated,Published,Submitted,Found Sound,Adopted
Adur District Council,Jan-18,Mar-16,Oct-16,Sep-17,Dec-17
Allerdale District Council,Jul-14,May-13,Oct-13,Jul-14,Jul-14
Amber Valley Borough Council,Mar-18,Nov-17,Mar-18,,
Arun District Council,Sep-18,Oct-14,Jan-15,Jul-18,Jul-18
Ashfield District Council,Oct-18,,,,
Ashford District Council,Dec-10,Oct-06,Nov-06,Jun-08,Jul-08
Ashford District Council,Mar-19,Jun-16,Dec-17,Jan-19,Feb-19
Aylesbury Vale District Council,Mar-18,Nov-17,Feb-18,,
Babergh District Council,Feb-14,Oct-11,Nov-12,Jan-14,Feb-14
"Barking & Dagenham, London Borough of",Dec-10,Nov-08,Jun-09,Feb-10,Jul-10
"Barnet, London Borough of",Sep-12,Sep-10,Aug-11,Jun-12,Sep-12
Barnsley Metropolitan Borough Council,Sep-11,Feb-10,Sep-10,May-11,Sep-11
Barnsley Metropolitan Borough Council,Feb-19,Jun-16,Dec-16,Dec-18,Jan-19
Barrow-in-Furness Borough Council,Apr-19,Dec-17,Feb-18,Mar-19,
Basildon District Council,Apr-19,Nov-18,Mar-19,,
Basingstoke and Deane Borough Council,Sep-16,Apr-14,Oct-14,Apr-16,May-16
Bassetlaw District Council,Dec-11,Nov-10,Jan-11,Nov-11,Dec-11
Bath & North East Somerset Council,Jul-14,Dec-10,May-11,Jun-14,Jul-14
Bath & North East Somerset Council (West of England JSP),May-18,Nov-17,Apr-18,,
Bedford Borough Council,Dec-10,Jul-06,Jul-06,Feb-08,Apr-08
Bedford Borough Council,Jan-19,Sep-18,Dec-18,,
"Bexley, London Borough of",Mar-12,Nov-10,May-11,Oct-11,Feb-12
Birmingham City Council,Mar-17,Jan-14,Jul-14,Mar-16,Jan-17
Blaby District Council,Feb-13,Jan-12,Jun-12,Feb-13,Feb-13
Blackburn with Darwen Borough Council,Jan-11,Nov-09,Apr-10,Oct-10,Jan-11
Blackpool Council,Mar-16,Jul-14,Dec-14,Nov-15,Jan-16
Bolsover District Council,Sep-18,May-18,Aug-18,,
Bolton Metropolitan Borough Council,Mar-11,Jan-10,May-10,Dec-10,Mar-11
Boston Borough Council (South East Lincs Local Plan),Apr-19,Apr-17,Jun-17,Jan-19,Mar-19
Bournemouth Borough Council,Nov-12,Aug-11,Nov-11,Aug-12,Oct-12
Bracknell Forest Borough Council,Dec-10,Nov-06,Nov-06,Nov-07,Feb-08
Bradford District Council,Jul-17,Feb-14,Dec-14,Aug-16,Jul-17
Braintree District Council,Sep-11,May-10,Jan-11,Jul-11,Sep-11
Braintree DC (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
Breckland District Council,Dec-10,Jan-09,Mar-09,Oct-09,Dec-09
Breckland District Council,Dec-17,Aug-17,Nov-17,,
"Brent, London Borough of",Dec-10,Jun-09,Sep-09,Apr-10,Jul-10
Brentwood Borough Council,Mar-19,Feb-19,,,
Brighton & Hove Council,May-16,Feb-13,Jun-13,Feb-16,Mar-16
Bristol City Council,Jul-11,Nov-09,Mar-10,Apr-11,Jun-11
Bristol City Council (West of England JSP),May-18,Nov-17,Apr-18,,
Broadland District Council,Mar-11,Nov-09,Mar-10,Feb-11,Mar-11
Broadland District Council (Revision),Nov-13,Aug-12,Feb-13,Nov-13,Jan-14
Broads Authority,Dec-10,Sep-06,Sep-06,Jul-07,Sep-07
Broads Authority,May-19,Nov-17,Mar-18,Apr-19,
"Bromley, London Borough of",Feb-19,Nov-16,Aug-17,Dec-18,Jan-19
Bromsgrove District Council,Feb-17,Sep-13,Mar-14,Dec-16,Jan-17
Broxbourne Borough Council,Apr-18,Nov-17,Mar-18,,
Broxtowe Borough Council,Sep-14,Jun-12,Jun-13,Jul-14,Sep-14
Burnley Borough Council,Sep-18,Apr-17,Jul-17,Jul-18,Jul-18
Bury Metropolitan Borough Council,Apr-15,,,,
Calderdale Metropolitan Borough Council,Feb-19,Aug-18,Jan-19,,
Cambridge City Council,Nov-18,Jul-13,Mar-14,Aug-18,Oct-18
"Camden, London Borough of",Dec-10,Oct-09,Jan-10,Aug-10,Nov-10
"Camden, London Borough of - Local Plan",Sep-17,Feb-16,Jun-16,May-17,Jul-17
Cannock Chase District Council,Jun-14,Feb-13,May-13,Feb-14,Jun-14
Canterbury City Council,Jul-17,Jun-14,Nov-14,Jun-17,Jul-17
Carlisle City Council,Dec-16,Mar-15,Jun-15,Jul-16,Nov-16
Castle Point District Council,Apr-17,,,,
Central Bedfordshire Council,Dec-10,Oct-08,Feb-09,Aug-09,Nov-09
Central Bedfordshire Council,May-18,Jan-18,Apr-18,,
Charnwood Borough Council,Dec-15,Jun-13,Dec-13,Sep-15,Nov-15
Chelmsford Borough Council,Dec-10,Nov-06,Nov-06,Feb-08,Feb-08
Chelmsford Borough Council (Review),Dec-13,Nov-12,Apr-13,Oct-13,Dec-13
Chelmsford Borough Council ,Jul-18,Jan-18,Jun-18,,
Cheltenham Borough Council,Jan-18,Jun-14,Nov-14,Oct-17,Dec-17
Cherwell District Council,Aug-15,Aug-12,Jan-14,Jun-15,Jul-15
Cherwell District Council Local Plan part 1 Review,Mar-18,Jul-17,Mar-18,,
Cheshire East Council,Aug-17,Mar-14,May-14,Jun-17,Jul-17
Cheshire West and Chester Council,Apr-15,Sep-13,Dec-13,Dec-14,Jan-15
Chesterfield Borough Council,Jun-13,Feb-12,Sep-12,Jun-13,Jul-13
Chesterfield Borough Council,Feb-19,Jan-19,,,
Chichester District Council,Aug-15,Nov-13,May-14,May-15,Jul-15
Chiltern District Council,Dec-11,Oct-10,Jan-11,Oct-11,Nov-11
Chorley Council,Jul-12,Dec-10,Mar-11,Jun-12,Jul-12
Christchurch Borough Council,May-14,Apr-12,Mar-13,Mar-14,Apr-14
City of London,Sep-11,Sep-10,Dec-10,Jun-11,Sep-11
City of London Review,Feb-15,Dec-13,May-14,Nov-14,Jan-15
Colchester Borough Council,Dec-10,Nov-07,Nov-07,Oct-08,Dec-08
Colchester Borough Council (Review),Jul-14,Aug-13,Oct-13,May-14,Jul-14
Colchester BC (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
Copeland District Council,Dec-13,Apr-12,Oct-12,Sep-13,Dec-13
Corby Borough Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
Corby Borough Council - First review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
Cornwall Council,Dec-16,Mar-14,Feb-15,Sep-16,Nov-16
Cotswold District Council,Sep-18,Jun-16,Jul-17,Jun-18,Aug-18
Coventry City Council,Jan-18,Jan-16,Apr-16,Oct-17,Dec-17
Craven District Council,Apr-18,Jan-18,Mar-18,,
Crawley Borough Council,Dec-10,May-06,May-06,Aug-07,Nov-07
Crawley Borough Council - CS Review/Local Plan,Jan-16,Sep-14,Nov-14,Nov-15,Dec-15
"Croydon, London Borough of",Apr-13,Sep-11,Apr-12,Dec-12,Apr-13
"Croydon, London Borough of - Strategic Policies Partial Review",Mar-18,Sep-16,Feb-17,Jan-18,Feb-18
Dacorum Borough Council,Jul-13,Oct-11,Jun-12,Jul-13,Sep-13
Darlington Borough Council,Mar-11,Aug-10,Oct-10,Apr-11,May-11
Dartford Borough Council,Sep-11,Sep-10,Feb-11,Aug-11,Sep-11
Dartmoor National Park,Dec-10,Jun-07,Jun-07,Feb-08,Apr-08
Daventry Dictrict Council,Jan-15,Feb-11,Dec-12,Oct-14,Dec-14
Derby City Council,Feb-17,Aug-15,Dec-15,Dec-16,Jan-17
Derbyshire Dales District Council,Jan-18,Aug-16,Dec-16,Nov-17,Dec-17
Doncaster Metropolitan Borough Council,Jun-12,Mar-11,Jul-11,Mar-12,May-12
Dover District Council,Dec-10,Jan-09,Jun-09,Jan-10,Feb-10
Dudley Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
Durham Council,Feb-19,Jan-19,,,
"Ealing, London Borough of",Mar-12,Sep-10,Jul-11,Feb-12,Apr-12
East Cambridgeshire District Council,Dec-10,Apr-08,May-08,Aug-09,Oct-09
East Cambridgeshire District Council (Revision),May-15,Feb-13,Aug-13,Mar-15,Apr-15
East Cambridgeshire District Council ,,Nov-17,,,
East Devon District Council,Mar-16,Nov-12,Aug-13,Jan-16,Jan-16
East Dorset District Council,May-14,Apr-12,Mar-13,Mar-14,Apr-14
East Hampshire District Council,May-14,Feb-12,May-12,Apr-14,May-14
East Hertfordshire District Council,Nov-18,Nov-16,Mar-17,Jul-18,Oct-18
East Lindsey District Council,Aug-18,Nov-16,Apr-17,May-18,Jul-18
East Northamptonshire Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
East Northamptonshire Council - First review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
East Riding of Yorkshire Council,May-16,Jan-14,Apr-14,Jan-16,Apr-16
East Staffordshire Borough Council,Oct-15,Oct-13,Apr-14,Oct-15,Oct-15
Eastbourne Borough Council,Feb-13,Sep-11,Jan-12,Nov-12,Feb-13
Eastleigh Borough Council,Nov-18,Jun-18,Oct-18,,
Eden District Council,Dec-10,Sep-08,Apr-09,Mar-10,Mar-10
Eden District Council - Local Plan 2014-2032,Nov-18,Oct-15,Dec-15,Aug-18,Oct-18
Elmbridge Borough Council,Jul-11,Jan-10,Mar-10,Jun-11,Jul-11
"Enfield, London Borough of",Dec-10,Dec-09,Mar-10,Sep-10,Nov-10
Epping Forest District Council,Oct-18,Dec-17,Sep-18,,
Epsom and Ewell Borough Council,Dec-10,Jun-06,Jul-06,May-07,Jul-07
Erewash Borough Council,Mar-14,Jun-12,Nov-12,Jan-14,Mar-14
Exeter City Council,Mar-12,Jul-10,Feb-11,Nov-11,Feb-12
Exmoor National Park,Jul-17,Jun-15,May-16,Jun-17,Jul-17
Fareham Borough Council,Sep-11,Dec-10,Feb-11,Jul-11,Aug-11
Fenland District Council,May-14,Feb-13,Sep-13,Apr-14,May-14
Folkestone & Hythe District Council,Jun-13,Jul-11,Jan-12,Jun-13,Sep-13
Folkestone & Hythe District Council - Core Strategy Review,Feb-19,Jan-19,,,
Forest Heath District Council,Dec-10,Mar-09,Aug-09,Apr-10,May-10
Forest Heath District Council - Core Strategy Single Issue Review,Apr-17,Jan-17,Mar-17,,
Forest of Dean District Council,Mar-12,Mar-11,Jul-11,Dec-11,Feb-12
Fylde Borough Council,Nov-18,Aug-16,Dec-16,Sep-18,Oct-18
Gateshead Metropolitan Borough Council,Apr-15,Sep-13,Feb-14,Feb-15,Mar-15
Gedling Borough Council,Sep-14,Jun-12,Jun-13,Jul-14,Sep-14
Gloucester City Council,Jan-18,Jun-14,Nov-14,Oct-17,Nov-17
Gosport Borough Council,Nov-15,Aug-14,Nov-14,Sep-15,Oct-15
Gravesham Borough Council,Sep-14,Dec-12,May-13,Jul-14,Sep-14
Great Yarmouth Borough Council,Feb-15,Sep-13,Mar-14,Nov-15,Dec-15
"Greenwich, Royal Borough of",May-14,Feb-13,Sep-13,May-14,Jul-14
Guildford Borough Council,May-19,Jun-16,Dec-17,Mar-19,Apr-19
"Hackney , London Borough of",Dec-10,Jun-09,Feb-10,Sep-10,Nov-10
"Hackney , London Borough of - Local Plan 2033",Feb-19,Nov-18,Jan-19,,
Halton Borough Council,Dec-12,Nov-10,Sep-11,Oct-12,Dec-12
Hambleton District Council,Dec-10,Feb-06,Feb-06,Feb-07,Apr-07
"Hammersmith & Fulham, London Borough of",Dec-11,Sep-10,Jan-11,Jul-11,Oct-11
"Hammersmith & Fulham, London Borough of",Mar-18,Sep-16,Feb-17,Dec-17,Feb-18
Harborough District Council,Dec-11,Oct-10,Apr-11,Nov-11,Nov-11
Harborough District Council,May-19,Sep-17,Mar-18,Apr-19,Apr-19
"Haringey, London Borough of",Mar-13,May-10,Mar-11,Dec-12,Mar-13
"Haringey, London Borough of, Alterations to Strategic Policies",Apr-18,Jan-16,May-16,Apr-17,Jul-17
Harlow District Council,Nov-18,May-18,Oct-18,,
Harrogate Borough Council,Dec-10,Sep-07,Sep-07,Jan-09,Feb-09
Harrogate Borough Council,Sep-18,Jan-18,Aug-18,,
"Harrow, London Borough of",Mar-12,Apr-11,Jun-11,Dec-11,Feb-12
Hart District Council,Jul-18,Feb-18,Jun-18,,
Hartlepool Borough Council,Jul-18,Dec-16,Mar-17,Apr-18,May-18
Hastings Borough Council,Feb-14,May-12,Oct-12,Oct-13,Feb-14
Havant Borough Council,Mar-11,Mar-10,Jun-10,Dec-10,Mar-11
Havant Borough Council,Mar-19,Feb-19,,,
"Havering, London Borough of",Dec-10,Nov-06,Nov-06,Mar-08,Jul-08
"Havering, London Borough of",Apr-18,Aug-17,Mar-18,,
Herefordshire District Council,Nov-15,May-14,Sep-14,Sep-15,Oct-15
Hertsmere Borough Council,Feb-13,Nov-11,Feb-12,Dec-12,Jan-13
High Peak Borough Council,May-16,Apr-14,Aug-14,Mar-16,Apr-16
"Hillingdon, London Borough of",Nov-12,Feb-11,Oct-11,Jul-12,Nov-12
Hinckley and Bosworth Borough Council,Dec-10,Oct-08,Jan-09,Nov-09,Dec-09
Horsham District Council,Dec-10,Nov-05,Nov-05,Jan-07,Feb-07
Horsham District Council - Development Framework,Nov-15,May-14,Aug-14,Oct-15,Nov-15
"Hounslow, London Borough of",Oct-15,Mar-14,Aug-14,Jul-15,Sep-15
Huntingdonshire District Council,Dec-10,Jul-08,Jul-08,Jul-09,Sep-09
Huntingdonshire District Council,May-19,Dec-17,Mar-18,Apr-19,
Hyndburn Borough Council,Mar-12,Aug-10,May-11,Dec-11,Jan-12
Ipswich Borough Council,Mar-12,Oct-09,Mar-10,Nov-11,Dec-11
Ipswich Borough Council - Core Strategy & Policies,Mar-17,Dec-14,Dec-15,Jan-17,Feb-17
Isle of Wight Council,Mar-12,Apr-11,Jun-11,Dec-11,Mar-12
Isles of Scilly Council,Mar-19,Feb-19,,,
"Islington, London Borough of",Mar-11,Oct-09,Jun-10,Jan-11,Feb-11
"Kensington & Chelsea, Royal Borough of",Dec-10,Oct-09,Mar-10,Oct-10,Dec-10
"Kensington & Chelsea, Royal Borough of, Partial Review ",Jun-17,Feb-17,May-17,,
Kettering Borough Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
Kettering Borough Council - First review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
Kings Lynn & West Norfolk Borough Council,Jul-11,Jan-10,Nov-10,May-11,Jul-11
