sprototype_plan_id,prototype_plan_title,normalised_council_name,removed_from_prototype_csv,Local Council,Last Updated,Published,Submitted,Found Sound,Adopted
252e87cd-a0d3-4a20-bcc4-b2e104996fa6,Adur Local Plan 2017 (adopted) - Part 1,Adur District Council,False,Adur District Council,Jan-18,Mar-16,Oct-16,Sep-17,Dec-17
,,,,Allerdale District Council,Jul-14,May-13,Oct-13,Jul-14,Jul-14
09a82662-75f1-485d-af89-5f035cdd6126,AMB-2017,Amber Valley Borough Council,False,Amber Valley Borough Council,Mar-18,Nov-17,Mar-18,,
b6fe3079-37c0-48cb-affe-b5b077ab5d15,ARU-2014,Arun District Council,False,Arun District Council,Sep-18,Oct-14,Jan-15,Jul-18,Jul-18
,,,,Ashfield District Council,Oct-18,,,,
,,,,Ashford District Council,Dec-10,Oct-06,Nov-06,Jun-08,Jul-08
,,,,Ashford District Council,Mar-19,Jun-16,Dec-17,Jan-19,Feb-19
6ec9e814-2154-404d-bbc0-1dd04e3b95df,VALP 2013-33,Aylesbury Vale District Council,False,Aylesbury Vale District Council,Mar-18,Nov-17,Feb-18,,
b49461a3-759c-4d01-92c1-aff99699e46c,Babergh Local Plan - Core Strategy & Policies,Babergh District Council,False,Babergh District Council,Feb-14,Oct-11,Nov-12,Jan-14,Feb-14
,,,,"Barking & Dagenham, London Borough of",Dec-10,Nov-08,Jun-09,Feb-10,Jul-10
48647056-2c80-4d6f-a403-ace690639a61,BNE-2010,London Borough of Barnet,False,"Barnet, London Borough of",Sep-12,Sep-10,Aug-11,Jun-12,Sep-12
0c7c56ed-5f11-463b-8bd7-5bda5e2b9311,BNS-2010 (Superseded),Barnsley Metropolitan Borough Council,True,Barnsley Metropolitan Borough Council,Sep-11,Feb-10,Sep-10,May-11,Sep-11
9ff460cb-2bb8-48d2-80d4-359f6821b89b,BNS-2016,Barnsley Metropolitan Borough Council,False,Barnsley Metropolitan Borough Council,Feb-19,Jun-16,Dec-16,Dec-18,Jan-19
,,,,Barrow-in-Furness Borough Council,Apr-19,Dec-17,Feb-18,Mar-19,
,,,,Basildon District Council,Apr-19,Nov-18,Mar-19,,
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,Amended Local Plan,Basingstoke and Deane Borough Council,False,Basingstoke and Deane Borough Council,Sep-16,Apr-14,Oct-14,Apr-16,May-16
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,Bassetlaw Core Strategy & Development Management Policies DPD,Bassetlaw District Council,False,Bassetlaw District Council,Dec-11,Nov-10,Jan-11,Nov-11,Dec-11
