sprototype_plan_id,prototype_plan_title,normalised_council_name,removed_from_prototype_csv,Local Council,Last Updated,Published,Submitted,Found Sound,Adopted
,,,,Bath & North East Somerset Council,Jul-14,Dec-10,May-11,Jun-14,Jul-14
,,,,Bath & North East Somerset Council (West of England JSP),May-18,Nov-17,Apr-18,,
4221883b-e5f5-469f-95af-93eed23da83b,BDF-2006,Bedford Borough Council,False,Bedford Borough Council,Dec-10,Jul-06,Jul-06,Feb-08,Apr-08
,,,,Bedford Borough Council,Jan-19,Sep-18,Dec-18,,
636d2ba4-c268-41a4-80eb-13fa2a9598fd,BEX-2010,London Borough of Bexley,False,"Bexley, London Borough of",Mar-12,Nov-10,May-11,Oct-11,Feb-12
2a72a06b-823f-4146-94a5-2c35446404b5,BIR-2014,Birmingham City Council,False,Birmingham City Council,Mar-17,Jan-14,Jul-14,Mar-16,Jan-17
61aa0eb6-1a59-4d58-8f38-667938d42198,BLA-2012,Blaby District Council,False,Blaby District Council,Feb-13,Jan-12,Jun-12,Feb-13,Feb-13
6e6621ed-7095-4f3a-901c-8477bad6e802,BBD-2009,Blackburn with Darwen Borough Council,False,Blackburn with Darwen Borough Council,Jan-11,Nov-09,Apr-10,Oct-10,Jan-11
,,,,Blackpool Council,Mar-16,Jul-14,Dec-14,Nov-15,Jan-16
35773cba-51ed-4e4b-9da0-cd9127621f9f,Local Plan for Bolsover District,Bolsover District Council,False,Bolsover District Council,Sep-18,May-18,Aug-18,,
03776d95-0e60-4c47-8d94-37cb160d2197,Bolton Core Strategy,Bolton Metropolitan Borough Council,False,Bolton Metropolitan Borough Council,Mar-11,Jan-10,May-10,Dec-10,Mar-11
,,,,Boston Borough Council (South East Lincs Local Plan),Apr-19,Apr-17,Jun-17,Jan-19,Mar-19
6f964803-73ae-4e23-b16b-8f795a2fd1f3,BMH-2011,Bournemouth Borough Council,False,Bournemouth Borough Council,Nov-12,Aug-11,Nov-11,Aug-12,Oct-12
,,,,Bracknell Forest Borough Council,Dec-10,Nov-06,Nov-06,Nov-07,Feb-08
,,,,Bradford District Council,Jul-17,Feb-14,Dec-14,Aug-16,Jul-17
99c678f1-b369-4846-a949-2b2b8538c4e3,BRA-2010,Braintree District Council,False,Braintree District Council,Sep-11,May-10,Jan-11,Jul-11,Sep-11
,,,,Braintree DC (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
20d50033-8d8a-4cff-88e3-40ba05e1e921,BRE-2009,Breckland District Council,False,Breckland District Council,Dec-10,Jan-09,Mar-09,Oct-09,Dec-09
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,BRE-2017,Breckland District Council,False,Breckland District Council,Dec-17,Aug-17,Nov-17,,
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,BEN-2009,London Borough of Brent,False,"Brent, London Borough of",Dec-10,Jun-09,Sep-09,Apr-10,Jul-10
,,,,Brentwood Borough Council,Mar-19,Feb-19,,,
,,,,Brighton & Hove Council,May-16,Feb-13,Jun-13,Feb-16,Mar-16
34e96a04-b95b-4812-8abd-72b1b2807189,BST-2009,Bristol City Council,False,Bristol City Council,Jul-11,Nov-09,Mar-10,Apr-11,Jun-11
,,,,Bristol City Council (West of England JSP),May-18,Nov-17,Apr-18,,
c6c58c54-916e-46f8-b94e-45209490ae4a,BRO-2009 (Superseded),Broadland District Council,True,Broadland District Council,Mar-11,Nov-09,Mar-10,Feb-11,Mar-11
a72eca2f-24ac-4362-b612-43ebcf7479de,"Joint Core Strategy for Broadland, Norwich and South Norfolk",Broadland District Council,False,Broadland District Council (Revision),Nov-13,Aug-12,Feb-13,Nov-13,Jan-14
86544a3c-9ad0-4ec6-8ce6-86b511ae169a,OT216-2006,Broads Authority,False,Broads Authority,Dec-10,Sep-06,Sep-06,Jul-07,Sep-07
,,,,Broads Authority,May-19,Nov-17,Mar-18,Apr-19,
b0c67350-039c-4410-9d82-b814b1e29668,BRY-2016,London Borough of Bromley,False,"Bromley, London Borough of",Feb-19,Nov-16,Aug-17,Dec-18,Jan-19
602147fb-c091-4eee-b8a4-c19f09ca1509,BRM-2013,Bromsgrove District Council,False,Bromsgrove District Council,Feb-17,Sep-13,Mar-14,Dec-16,Jan-17
8b400e77-b8c6-4d30-b6e6-c919233e46be,The Broxbourne Local Plan,Broxbourne Borough Council,False,Broxbourne Borough Council,Apr-18,Nov-17,Mar-18,,
1ac65a2e-3457-4033-a5db-f06dc73a257e,Greater Nottingham Aligned Core Strategies - Part 1 Local Plan,Broxtowe Borough Council,False,Broxtowe Borough Council,Sep-14,Jun-12,Jun-13,Jul-14,Sep-14
63334b68-029e-4d9b-a461-0b65b7c378a1,BUN-2017,Burnley Borough Council,False,Burnley Borough Council,Sep-18,Apr-17,Jul-17,Jul-18,Jul-18
,,,,Bury Metropolitan Borough Council,Apr-15,,,,
74564582-cddd-45f4-b09c-35e08902cf91,CLD-2018,Calderdale Metropolitan Borough Council,False,Calderdale Metropolitan Borough Council,Feb-19,Aug-18,Jan-19,,
11feb6a5-9c57-41b9-8a03-c30a3509231a,CAB-2013,Cambridge City Council,False,Cambridge City Council,Nov-18,Jul-13,Mar-14,Aug-18,Oct-18
511463b3-4c3d-4ca2-983e-e05775a0739a,CMD-2009 (Superseded),London Borough of Camden,True,"Camden, London Borough of",Dec-10,Oct-09,Jan-10,Aug-10,Nov-10
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,CMD-2016,London Borough of Camden,False,"Camden, London Borough of - Local Plan",Sep-17,Feb-16,Jun-16,May-17,Jul-17
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,Cannock Chase Local Plan (Part 1) 2014,Cannock Chase District Council,False,Cannock Chase District Council,Jun-14,Feb-13,May-13,Feb-14,Jun-14
3fd7dd48-a240-42ed-b9ed-411731039393,CAT-2014,Canterbury City Council,False,Canterbury City Council,Jul-17,Jun-14,Nov-14,Jun-17,Jul-17
8c82762b-9d1c-4ea8-b18f-e3411c4169a0,CAR-2015,Carlisle City Council,False,Carlisle City Council,Dec-16,Mar-15,Jun-15,Jul-16,Nov-16
,,,,Castle Point District Council,Apr-17,,,,
f18ffccb-ad43-4fb1-aabf-32be13d6bae8,North Core Strategy,Central Bedfordshire Council,False,Central Bedfordshire Council,Dec-10,Oct-08,Feb-09,Aug-09,Nov-09
1d4759cb-5018-43e5-9c6a-ca0372b083c6,CBF-2018,Central Bedfordshire Council,False,Central Bedfordshire Council,May-18,Jan-18,Apr-18,,
35227a41-4853-40a6-aa52-4b357ea222e5,CHA-2013,Charnwood Borough Council,False,Charnwood Borough Council,Dec-15,Jun-13,Dec-13,Sep-15,Nov-15
,,,,Chelmsford Borough Council,Dec-10,Nov-06,Nov-06,Feb-08,Feb-08
,,,,Chelmsford Borough Council (Review),Dec-13,Nov-12,Apr-13,Oct-13,Dec-13
,,,,Chelmsford Borough Council ,Jul-18,Jan-18,Jun-18,,
8cecfc29-1e2c-442c-9525-6138c62b00d8,"Gloucester, Cheltenham and Tewkesbury Joint Core Strategy",Cheltenham Borough Council,False,Cheltenham Borough Council,Jan-18,Jun-14,Nov-14,Oct-17,Dec-17
65ea6e15-82eb-4537-9345-b964f0e883e1,CHR-2012,Cherwell District Council,False,Cherwell District Council,Aug-15,Aug-12,Jan-14,Jun-15,Jul-15
6fcfc710-d741-422d-8a28-03dcd4263845,CHR-2017 Cherwell Local Plan 2011 – 2031 (Part1),Cherwell District Council,False,Cherwell District Council Local Plan part 1 Review,Mar-18,Jul-17,Mar-18,,
796b09f8-af75-4dea-ba4b-0ace06381dd0,Local Plan Strategy,Cheshire East Council,False,Cheshire East Council,Aug-17,Mar-14,May-14,Jun-17,Jul-17
ba74a7a2-6e3e-4ad0-9f8a-9620be69e85d,Local Plan (Part One) Strategic Policies,Cheshire West and Chester Council,False,Cheshire West and Chester Council,Apr-15,Sep-13,Dec-13,Dec-14,Jan-15
a9818144-8028-40ac-bfd5-46c57db30357,CHS-2012,Chesterfield Borough Council,False,Chesterfield Borough Council,Jun-13,Feb-12,Sep-12,Jun-13,Jul-13
e03a081f-3bd1-4c85-ba87-295a4914f8a0,CHS-2019,Chesterfield Borough Council,False,Chesterfield Borough Council,Feb-19,Jan-19,,,
09bbd8b4-75f5-48aa-954c-ac63018d376f,CHI-2013,Chichester District Council,False,Chichester District Council,Aug-15,Nov-13,May-14,May-15,Jul-15
8f4eecb8-0d98-4af4-b5b5-0ffc9451a190,Core Strategy for Chiltern District,Chiltern District Council,False,Chiltern District Council,Dec-11,Oct-10,Jan-11,Oct-11,Nov-11
,,,,Chorley Council,Jul-12,Dec-10,Mar-11,Jun-12,Jul-12
8b48f728-8835-4b44-8f1a-d41101baeda1,Christchurch and East Dorset Local Plan Part 1 - Core Strategy,Christchurch Borough Council,False,Christchurch Borough Council,May-14,Apr-12,Mar-13,Mar-14,Apr-14
,,,,City of London,Sep-11,Sep-10,Dec-10,Jun-11,Sep-11
,,,,City of London Review,Feb-15,Dec-13,May-14,Nov-14,Jan-15
346b2235-bd4c-435b-88c7-0fbc40f011a2,COL-2007 (Superseded),Colchester Borough Council,True,Colchester Borough Council,Dec-10,Nov-07,Nov-07,Oct-08,Dec-08
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,Review,Colchester Borough Council,False,Colchester Borough Council (Review),Jul-14,Aug-13,Oct-13,May-14,Jul-14
,,,,Colchester BC (Joint North Essex Local Plan part 1),Oct-17,Jun-17,Oct-17,,
,,,,Copeland District Council,Dec-13,Apr-12,Oct-12,Sep-13,Dec-13
e507324d-584d-4c30-aa52-0536f36a6720,COR-2007 (Superseded),Corby Borough Council,True,Corby Borough Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
b818aff3-bd8a-4243-8e7a-e4ac402182de,North Northamptonshire Joint Core Strategy 2011-2031,Corby Borough Council,False,Corby Borough Council - First review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
ff7a8a59-3da4-4d24-a2ec-0a1b75d108bb,CON-2014,Cornwall Council,False,Cornwall Council,Dec-16,Mar-14,Feb-15,Sep-16,Nov-16
2092c149-68e6-4107-a1ff-fb929fb4032e,COT-2016,Cotswold District Council,False,Cotswold District Council,Sep-18,Jun-16,Jul-17,Jun-18,Aug-18
1c40a6a9-a132-47a2-a580-0f80d473e61d,COV-2016,Coventry City Council,False,Coventry City Council,Jan-18,Jan-16,Apr-16,Oct-17,Dec-17
fabfb03b-4e3d-4fd8-a874-88d1457874bd,CRA-2018,Craven District Council,False,Craven District Council,Apr-18,Jan-18,Mar-18,,
3e5d422d-c319-49b2-ab82-e512b9c64f8f,CRW-2006 (Superseded),Crawley Borough Council,True,Crawley Borough Council,Dec-10,May-06,May-06,Aug-07,Nov-07
034cf060-0268-4964-9fd0-6c10e3c3f405,CS Review/Local Plan,Crawley Borough Council,False,Crawley Borough Council - CS Review/Local Plan,Jan-16,Sep-14,Nov-14,Nov-15,Dec-15
f0768588-f63f-4e37-a355-92b15043434e,CRY-2011,London Borough of Croydon,False,"Croydon, London Borough of",Apr-13,Sep-11,Apr-12,Dec-12,Apr-13
91ac26b7-d253-4569-9a70-92763649a92a,Strategic Policies Partial Review,London Borough of Croydon,False,"Croydon, London Borough of - Strategic Policies Partial Review",Mar-18,Sep-16,Feb-17,Jan-18,Feb-18
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,Core Strategy 2006-2031,Dacorum Borough Council,False,Dacorum Borough Council,Jul-13,Oct-11,Jun-12,Jul-13,Sep-13
beccd40e-da67-45a7-bdfa-c11004e60d49,DAL-2010,Darlington Borough Council,False,Darlington Borough Council,Mar-11,Aug-10,Oct-10,Apr-11,May-11
a7e15312-9fd9-4ca0-9fff-56348e710f6b,DAR-2010,Dartford Borough Council,False,Dartford Borough Council,Sep-11,Sep-10,Feb-11,Aug-11,Sep-11
,,,,Dartmoor National Park,Dec-10,Jun-07,Jun-07,Feb-08,Apr-08
,,,,Daventry Dictrict Council,Jan-15,Feb-11,Dec-12,Oct-14,Dec-14
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,DER-2015,Derby City Council,False,Derby City Council,Feb-17,Aug-15,Dec-15,Dec-16,Jan-17
c8ab0e67-4891-4e0d-8b5e-cea7674c5351,DEB-2016,Derbyshire Dales District Council,False,Derbyshire Dales District Council,Jan-18,Aug-16,Dec-16,Nov-17,Dec-17
982a65e7-36fa-451b-bfb0-08d6edd8751f,DNC-2011,Doncaster Metropolitan Borough Council,False,Doncaster Metropolitan Borough Council,Jun-12,Mar-11,Jul-11,Mar-12,May-12
3cf99a4f-97f0-445a-9283-6f7eb069134b,DOV-2009,Dover District Council,False,Dover District Council,Dec-10,Jan-09,Jun-09,Jan-10,Feb-10
,,,,Dudley Council,Mar-11,Nov-09,Feb-10,Oct-10,Feb-11
,,,,Durham Council,Feb-19,Jan-19,,,
a6e0dc08-d86e-43b2-8b7b-5d59308e59a0,EAL-2010,London Borough of Ealing,False,"Ealing, London Borough of",Mar-12,Sep-10,Jul-11,Feb-12,Apr-12
dfafb801-4ee5-4cb4-97c4-76b720a00eb1,ECA-2008 (Superseded),East Cambridgeshire District Council,True,East Cambridgeshire District Council,Dec-10,Apr-08,May-08,Aug-09,Oct-09
5dce72aa-fd22-4fd0-8147-32b014158462,East Cambridgeshire Local Plan,East Cambridgeshire District Council,False,East Cambridgeshire District Council (Revision),May-15,Feb-13,Aug-13,Mar-15,Apr-15
,,,,East Cambridgeshire District Council ,,Nov-17,,,
193ef3e3-af8c-4dbc-94dd-a7dceb2d34a7,East Devon Local Plan 2013-31,East Devon District Council,False,East Devon District Council,Mar-16,Nov-12,Aug-13,Jan-16,Jan-16
c678e953-1156-4600-bab2-a5012deac03d,EDO-2012 (Duplicate),East Dorset District Council,True,East Dorset District Council,May-14,Apr-12,Mar-13,Mar-14,Apr-14
2a7f1eb4-e1fb-4f69-a51b-8c64a480320f,Joint Core Strategy,East Hampshire District Council,False,East Hampshire District Council,May-14,Feb-12,May-12,Apr-14,May-14
daf38f0d-dcf2-4d3c-abc6-7d71958088d5,EHE-2016,East Hertfordshire District Council,False,East Hertfordshire District Council,Nov-18,Nov-16,Mar-17,Jul-18,Oct-18
aa7f9c07-780e-44de-a32b-1f9b1ff13e13,ELI-2016,East Lindsey District Council,False,East Lindsey District Council,Aug-18,Nov-16,Apr-17,May-18,Jul-18
4cc6ee86-c57f-4fbd-9233-36da9cf4fd50,ENO-2007 (Superseded),East Northamptonshire Council,True,East Northamptonshire Council,Dec-10,Feb-07,Feb-07,Apr-08,Jun-08
b818aff3-bd8a-4243-8e7a-e4ac402182de,North Northamptonshire Joint Core Strategy 2011-2031,East Northamptonshire Council,False,East Northamptonshire Council - First review,Aug-16,Jan-15,Jul-15,Jun-16,Jul-16
d9529aa8-ced5-44a8-b346-b8c71faa82da,ERY-2014,East Riding of Yorkshire Council,False,East Riding of Yorkshire Council,May-16,Jan-14,Apr-14,Jan-16,Apr-16
a8cffe27-82e3-494d-ad90-550379c07894,EST-2013,East Staffordshire Borough Council,False,East Staffordshire Borough Council,Oct-15,Oct-13,Apr-14,Oct-15,Oct-15
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,EAS-2011,Eastbourne Borough Council,False,Eastbourne Borough Council,Feb-13,Sep-11,Jan-12,Nov-12,Feb-13
e8a54df5-6d14-49a9-94de-55217b23f821,EAT-2018,Eastleigh Borough Council,False,Eastleigh Borough Council,Nov-18,Jun-18,Oct-18,,
0de24323-0cc2-41cc-8af6-5e2752b2658b,EDN-2008,Eden District Council,False,Eden District Council,Dec-10,Sep-08,Apr-09,Mar-10,Mar-10
e9cdd4c9-4ab7-4764-90d0-193af9bb2c04,Local Plan 2014-2032,Eden District Council,False,Eden District Council - Local Plan 2014-2032,Nov-18,Oct-15,Dec-15,Aug-18,Oct-18
94ec63f6-5081-4e42-a23e-433f80d6b918,Elmbridge Core Strategy,Elmbridge Borough Council,False,Elmbridge Borough Council,Jul-11,Jan-10,Mar-10,Jun-11,Jul-11
a418a33c-0b10-4493-8adf-12a820a125aa,ENF-2009,London Borough of Enfield,False,"Enfield, London Borough of",Dec-10,Dec-09,Mar-10,Sep-10,Nov-10
b2b398b5-9209-4fc2-afb2-da939e6dbc0b,Epping Forest District Local Plan,Epping Forest District Council,False,Epping Forest District Council,Oct-18,Dec-17,Sep-18,,
d06d0c20-25a1-4c64-a419-37ee6df26663,EPS-2006,Epsom and Ewell Borough Council,False,Epsom and Ewell Borough Council,Dec-10,Jun-06,Jul-06,May-07,Jul-07
49ad7abb-9298-49e8-868a-c41a4848a258,ERE-2012,Erewash Borough Council,False,Erewash Borough Council,Mar-14,Jun-12,Nov-12,Jan-14,Mar-14
b3e36757-e758-44fd-9ed9-70e29904c0f4,EXE-2010,Exeter City Council,False,Exeter City Council,Mar-12,Jul-10,Feb-11,Nov-11,Feb-12
,,,,Exmoor National Park,Jul-17,Jun-15,May-16,Jun-17,Jul-17
44070104-6c42-4d20-8c1a-a4591317abf0,FAR-2010,Fareham Borough Council,False,Fareham Borough Council,Sep-11,Dec-10,Feb-11,Jul-11,Aug-11
7d89e3cb-d5e6-4271-9cf9-532eb25c452c,FEN-2013,Fenland District Council,False,Fenland District Council,May-14,Feb-13,Sep-13,Apr-14,May-14
,,,,Folkestone & Hythe District Council,Jun-13,Jul-11,Jan-12,Jun-13,Sep-13
,,,,Folkestone & Hythe District Council - Core Strategy Review,Feb-19,Jan-19,,,
755f2847-3f10-4ae7-8e09-4a87e6e15602,FOR-2009,Forest Heath District Council,False,Forest Heath District Council,Dec-10,Mar-09,Aug-09,Apr-10,May-10
6e207c51-d629-4ace-be0a-39dc0573c18c,Core Strategy Single Issue Review,Forest Heath District Council,False,Forest Heath District Council - Core Strategy Single Issue Review,Apr-17,Jan-17,Mar-17,,
3a6c1cb8-c3bc-4e48-a935-d89adda8f211,FOE-2011,Forest of Dean District Council,False,Forest of Dean District Council,Mar-12,Mar-11,Jul-11,Dec-11,Feb-12
a1db663c-71f9-45fe-a8aa-e51f9d03907c,FYL-2016,Fylde Borough Council,False,Fylde Borough Council,Nov-18,Aug-16,Dec-16,Sep-18,Oct-18
6f3b7d3c-a04c-46a6-9f98-c23bd794cf30,Core Strategy and Urban Core Plan for Gateshead and Newcastle upon Tyne,Gateshead Metropolitan Borough Council,False,Gateshead Metropolitan Borough Council,Apr-15,Sep-13,Feb-14,Feb-15,Mar-15
1ac65a2e-3457-4033-a5db-f06dc73a257e,Greater Nottingham Aligned Core Strategies - Part 1 Local Plan,Gedling Borough Council,False,Gedling Borough Council,Sep-14,Jun-12,Jun-13,Jul-14,Sep-14
18b710bd-f202-44ad-aa5a-5584b56d357f,"Gloucester, Cheltenham and Tewkesbury Joint Core Strategy (Duplicate)",Gloucester City Council,True,Gloucester City Council,Jan-18,Jun-14,Nov-14,Oct-17,Nov-17
be96f84a-f4be-47b7-98aa-b28702fe0b15,GOS-2014,Gosport Borough Council,False,Gosport Borough Council,Nov-15,Aug-14,Nov-14,Sep-15,Oct-15
b48f775a-6694-4ea3-8d4c-1a5acf993d5d,Core strategy,Gravesham Borough Council,False,Gravesham Borough Council,Sep-14,Dec-12,May-13,Jul-14,Sep-14
b160db07-8136-4698-b19b-ddf7db61ec9c,GRY-2013,Great Yarmouth Borough Council,False,Great Yarmouth Borough Council,Feb-15,Sep-13,Mar-14,Nov-15,Dec-15
d78c2bb3-f734-4adc-9cf9-3146a5c9f929,Core Strategy ,Royal Borough of Greenwich,False,"Greenwich, Royal Borough of",May-14,Feb-13,Sep-13,May-14,Jul-14
,,,,Guildford Borough Council,May-19,Jun-16,Dec-17,Mar-19,Apr-19
62f52efd-2a09-4f42-b7ad-8e4d3edf028a,HCK-2009,London Borough of Hackney,False,"Hackney , London Borough of",Dec-10,Jun-09,Feb-10,Sep-10,Nov-10
e564f51e-3ef2-4caf-a6fe-0941988a59ec,Local Plan 2033,London Borough of Hackney,False,"Hackney , London Borough of - Local Plan 2033",Feb-19,Nov-18,Jan-19,,
9a6adacc-51d0-4d89-bc0c-cf717e549372,Core Strategy,Halton Borough Council,False,Halton Borough Council,Dec-12,Nov-10,Sep-11,Oct-12,Dec-12
d06d6c34-9bcc-4839-83c4-9334554d546b,HAE-2006,Hambleton District Council,False,Hambleton District Council,Dec-10,Feb-06,Feb-06,Feb-07,Apr-07
870370ba-7660-48a7-8fbd-a95f6aecaf6c,HMF-2010 (Superseded),London Borough of Hammersmith & Fulham,True,"Hammersmith & Fulham, London Borough of",Dec-11,Sep-10,Jan-11,Jul-11,Oct-11
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,HMF-2016,London Borough of Hammersmith & Fulham,False,"Hammersmith & Fulham, London Borough of",Mar-18,Sep-16,Feb-17,Dec-17,Feb-18
7cab18fd-005d-4b92-9a3f-971afd674753,HAO-2010,Harborough District Council,False,Harborough District Council,Dec-11,Oct-10,Apr-11,Nov-11,Nov-11
,,,,Harborough District Council,May-19,Sep-17,Mar-18,Apr-19,Apr-19
0f382827-7acd-4930-86c7-2da7ed85d7c5,HRY-2010 (Superseded),London Borough of Haringey,True,"Haringey, London Borough of",Mar-13,May-10,Mar-11,Dec-12,Mar-13
b1f7862a-5ab5-43ec-851d-3810d6aaa0f8,Alterations to Strategic Policies,London Borough of Haringey,False,"Haringey, London Borough of, Alterations to Strategic Policies",Apr-18,Jan-16,May-16,Apr-17,Jul-17
82cf9340-c857-43f2-a3d8-b15b81296f44,Harlow Local Plan,Harlow District Council,False,Harlow District Council,Nov-18,May-18,Oct-18,,
c28b7f1b-30dd-40b9-bc1c-e59b1b8e1d63,HAG-2007,Harrogate Borough Council,False,Harrogate Borough Council,Dec-10,Sep-07,Sep-07,Jan-09,Feb-09
fcbf1602-9aa2-44c4-8b9b-589e293d0029,HAG-2018,Harrogate Borough Council,False,Harrogate Borough Council,Sep-18,Jan-18,Aug-18,,
cc2ab3d9-4427-476e-b241-e79fcf7c37af,HRW-2011,London Borough of Harrow,False,"Harrow, London Borough of",Mar-12,Apr-11,Jun-11,Dec-11,Feb-12
fa2050ac-99a9-4b32-850c-ad9237675dfb,HAT-2018,Hart District Council,False,Hart District Council,Jul-18,Feb-18,Jun-18,,
50bcfea0-7f33-47f6-aa0f-e041d9dc868e,Hartlepool Local Plan,Hartlepool Borough Council,False,Hartlepool Borough Council,Jul-18,Dec-16,Mar-17,Apr-18,May-18
d405a621-d7b4-443d-a581-7321d257a772,HAS-2012,Hastings Borough Council,False,Hastings Borough Council,Feb-14,May-12,Oct-12,Oct-13,Feb-14
502fdf73-dd61-4b7e-adbc-a6a311dccb5a,HAA-2010,Havant Borough Council,False,Havant Borough Council,Mar-11,Mar-10,Jun-10,Dec-10,Mar-11
,,,,Havant Borough Council,Mar-19,Feb-19,,,
15d670bb-4304-47d6-8791-1078623a5c28,Core Strategy and Development Control Policies 2008,London Borough of Havering,False,"Havering, London Borough of",Dec-10,Nov-06,Nov-06,Mar-08,Jul-08
6f6a4419-9a2f-4b8b-9cb4-7669753b82d1,Havering Local Plan,London Borough of Havering,False,"Havering, London Borough of",Apr-18,Aug-17,Mar-18,,
,,,,Herefordshire District Council,Nov-15,May-14,Sep-14,Sep-15,Oct-15
e2c62572-f35d-4efb-9d5b-f7c61cff9383,HER-2011,Hertsmere Borough Council,False,Hertsmere Borough Council,Feb-13,Nov-11,Feb-12,Dec-12,Jan-13
660da294-c5e8-41b6-aab2-e3cd18935cfa,HIG-2014,High Peak Borough Council,False,High Peak Borough Council,May-16,Apr-14,Aug-14,Mar-16,Apr-16
d299fb9a-a499-4518-8b24-595185cd55ea,HIL-2011,London Borough of Hillingdon,False,"Hillingdon, London Borough of",Nov-12,Feb-11,Oct-11,Jul-12,Nov-12
3a5b4662-b373-4237-ad84-8e1a7649cac9,Core Strategy,Hinckley and Bosworth Borough Council,False,Hinckley and Bosworth Borough Council,Dec-10,Oct-08,Jan-09,Nov-09,Dec-09
0ecb3111-ca9f-4b76-b0ee-a7b310577b87,HOR-2005 (Superseded),Horsham District Council,True,Horsham District Council,Dec-10,Nov-05,Nov-05,Jan-07,Feb-07
f7ab3008-a04e-4536-b285-10566f24f705,Development Framework,Horsham District Council,False,Horsham District Council - Development Framework,Nov-15,May-14,Aug-14,Oct-15,Nov-15
c131e54c-78e3-476d-85cd-505e4e7247b3,HNS-2014,London Borough of Hounslow,False,"Hounslow, London Borough of",Oct-15,Mar-14,Aug-14,Jul-15,Sep-15
0c095e34-f368-4b52-be05-b69614c8aba4,HUN-2008,Huntingdonshire District Council,False,Huntingdonshire District Council,Dec-10,Jul-08,Jul-08,Jul-09,Sep-09
,,,,Huntingdonshire District Council,May-19,Dec-17,Mar-18,Apr-19,
17213289-e289-47bb-8638-bad7cb4d88bc,HYN-2010,Hyndburn Borough Council,False,Hyndburn Borough Council,Mar-12,Aug-10,May-11,Dec-11,Jan-12
884909c5-3409-4ddd-9bba-b7cb17ec4535,IPS-2009 (Duplicate),Ipswich Borough Council,True,Ipswich Borough Council,Mar-12,Oct-09,Mar-10,Nov-11,Dec-11
2d1a7516-39b2-45b6-9017-1eb06cef3a05,Core Strategy & Policies,Ipswich Borough Council,False,Ipswich Borough Council - Core Strategy & Policies,Mar-17,Dec-14,Dec-15,Jan-17,Feb-17
