plan_id,local_development_framework_number
e25988ed-d64e-4bcd-914f-38ddb7b0c83e,1319
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,683
d405a621-d7b4-443d-a581-7321d257a772,944
4e23eab5-e588-4b27-a3bc-5cb678926b11,623
7321ff7a-d9d2-4aec-8fa5-ebd96ecde1f8,1009
68988a3d-e798-47b4-84b0-a2ddfaa8eabf,762
7b18c2ee-2db5-481d-b79b-546395189b20,1948
140025a9-c5a2-49a2-8dea-baeb2b86a268,1917
99c678f1-b369-4846-a949-2b2b8538c4e3,638
f790c605-0500-41f5-a819-ec7ceba3c9c6,1840
dff4277e-032b-42ad-8893-0ec6f3db6948,1946
caf26791-7db6-4b77-9afd-0b5b988009ac,1331
8f711fa3-3fd0-4fd3-8c24-1e553d858690,1896
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,1483
f790c605-0500-41f5-a819-ec7ceba3c9c6,1841
b2b398b5-9209-4fc2-afb2-da939e6dbc0b,1881
82cf9340-c857-43f2-a3d8-b15b81296f44,1915
99cb8ce2-eafb-4b1a-ac95-3aef85ceb28e,1056
f95887c6-88cb-4a54-9da5-7acef0ae60df,1083
f790c605-0500-41f5-a819-ec7ceba3c9c6,1842
c7762330-14f6-4b3f-bc7a-57b42fadf22e,1924
8cecfc29-1e2c-442c-9525-6138c62b00d8,1109
2092c149-68e6-4107-a1ff-fb929fb4032e,1773
3a6c1cb8-c3bc-4e48-a935-d89adda8f211,509
8cecfc29-1e2c-442c-9525-6138c62b00d8,1109
3566d0ae-643f-4ae4-85ec-fadfecaff610,1497
8cecfc29-1e2c-442c-9525-6138c62b00d8,1109
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,1157
2a7f1eb4-e1fb-4f69-a51b-8c64a480320f,919
e8a54df5-6d14-49a9-94de-55217b23f821,1929
44070104-6c42-4d20-8c1a-a4591317abf0,536
be96f84a-f4be-47b7-98aa-b28702fe0b15,685
fa2050ac-99a9-4b32-850c-ad9237675dfb,1904
502fdf73-dd61-4b7e-adbc-a6a311dccb5a,569
718f5f8d-1799-4783-92e0-e682f37be1ce,1374
16949b4c-333a-4885-97cc-3f7bc3161514,835
f6868aaf-a9af-4447-baa0-dd735becbf48,1935
eeb2557f-d431-4893-a38b-a9e0a31f2b70,1839
4779bcae-d575-4424-951b-4bf2de775680,1197
34092d36-5d59-4d60-b93c-92612d5a8b10,929
8b400e77-b8c6-4d30-b6e6-c919233e46be,1868
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,1067
e2c62572-f35d-4efb-9d5b-f7c61cff9383,1220
22f9f356-6c82-4256-a696-f6bc9a554df3,1792
f77685f0-3166-4b2e-b668-e3cd71b871d8,1016
d1efd344-82c2-4844-a8e2-386ba0813dfb,1007
8cdb941a-41bd-4f84-8656-01f31b7f58a1,1344
3fd7dd48-a240-42ed-b9ed-411731039393,1468
a7e15312-9fd9-4ca0-9fff-56348e710f6b,920
3cf99a4f-97f0-445a-9283-6f7eb069134b,924
